MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_FEC_VTO;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;MI_FEC_AMORT;MI_FREC_AMORT;MI_SDO_AMORT;SGM_LQ_LCR;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-09-30;1111111111;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111112;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111113;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-11-30;6M;1000;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111114;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2024-11-30;3M;1000;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111115;2025-03-02;9M;Fijo;998929;998929;2009-09-30;2038-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;998829;P/G;998829;3.190;1.52;;;0.17;1.81;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111116;2024-10-30;6M;Variable;546156;546156;2022-09-30;2026-09-30;Actual/365;EURIBOR;EUR;Valor razonable;546056;Flujos de saldo;546056;4.610;1.55;EURIBOR;9M;999999999999999.00;999999999999999.00;2024-10-30;8M;10M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111117;2024-11-30;5M;Fijo;602921;602921;2013-09-30;2035-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;602821;Otros ingresos;602821;3.540;1.32;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111118;2024-11-30;2M;Variable;602912;602912;2015-09-30;2025-09-30;30/365;EURIBOR;EUR;Valor razonable;602812;P/G;602812;1.820;0.26;EURIBOR;3M;999999999999999.00;999999999999999.00;2024-11-30;9M;11M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111119;2024-11-30;2M;Fijo;470524;470524;2010-09-30;2036-09-30;30/360;EURIBOR;EUR;Coste amortizado;470424;Flujos de saldo;470424;4.320;1.83;;;0.09;999999999999999.00;2900-12-31;;;2024-11-30;9M;438.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111120;2024-10-30;1M;Variable;335060;335060;2019-09-30;2027-09-30;Actual/365;EURIBOR;EUR;Valor razonable;334960;Otros ingresos;334960;4.780;1.46;EURIBOR;3M;0.12;999999999999999.00;2024-10-30;8M;6M;2024-10-30;7M;325.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111121;2024-10-30;2M;Fijo;753597;753597;2023-09-30;2027-09-30;30/365;EURIBOR;EUR;Coste amortizado;753497;P/G;753497;1.640;0.85;;;0.09;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111122;2024-10-30;3M;Variable;335247;335247;2017-09-30;2037-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;335147;Flujos de saldo;335147;1.220;0.79;EURIBOR;7M;999999999999999.00;1.05;2024-10-30;8M;6M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111123;2024-10-30;1M;Fijo;162829;162829;2020-09-30;2025-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;162729;Otros ingresos;162729;0.500;1.33;;;999999999999999.00;3.63;2900-12-31;;;2900-12-31;;999999999999999.00;PEQUEÑA_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111124;2025-03-02;7M;Variable;837569;837569;2012-09-30;2036-09-30;Actual/360;EURIBOR;EUR;Valor razonable;837469;P/G;837469;1.990;0.95;EURIBOR;6M;0.19;3.22;2025-03-02;8M;5M;2900-12-31;;999999999999999.00;PERSONA;En curso;;999999999999999.00
2024-09-30;1111111125;2024-11-30;6M;Fijo;935096;935096;2014-09-30;2035-09-30;30/365;EURIBOR;EUR;Coste amortizado;934996;Flujos de saldo;934996;0.420;1.82;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-11-30;11M;313.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111126;2024-10-30;4M;Variable;395138;395138;2017-09-30;2038-09-30;30/360;EURIBOR;EUR;Valor razonable;395038;Otros ingresos;395038;4.740;1.21;EURIBOR;5M;999999999999999.00;999999999999999.00;2024-10-30;2M;6M;2024-10-30;9M;824.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111127;2024-10-30;1M;Fijo;505288;505288;2017-09-30;2035-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;505188;P/G;505188;3.940;0.36;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111128;2024-11-30;2M;Variable;888200;888200;2011-09-30;2025-09-30;30/365;EURIBOR;EUR;Valor razonable;888100;Flujos de saldo;888100;0.920;1.01;EURIBOR;4M;0.09;999999999999999.00;2024-11-30;5M;1M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111129;2025-06-30;10M;Fijo;491314;491314;2012-09-30;2036-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;491214;Otros ingresos;491214;4.460;1.20;;;0.05;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111130;2025-03-30;10M;Variable;432650;432650;2019-09-30;2025-09-30;Actual/365;EURIBOR;EUR;Valor razonable;432550;P/G;432550;4.600;0.79;EURIBOR;11M;0.14;999999999999999.00;2025-03-30;9M;8M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111131;2025-03-02;6M;Fijo;632244;632244;2017-09-30;2032-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;632144;Flujos de saldo;632144;1.240;1.86;;;999999999999999.00;1.83;2900-12-31;;;2025-03-02;4M;185.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111132;2025-05-30;11M;Variable;139393;139393;2012-09-30;2036-09-30;30/365;EURIBOR;EUR;Valor razonable;139293;Otros ingresos;139293;3.810;1.81;EURIBOR;8M;999999999999999.00;3.53;2025-05-30;7M;5M;2025-05-30;11M;440.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111133;2024-10-30;11M;Fijo;204865;204865;2011-09-30;2028-09-30;30/360;EURIBOR;EUR;Coste amortizado;204765;P/G;204765;0.590;1.79;;;0.03;4.91;2900-12-31;;;2900-12-31;;999999999999999.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111134;2025-01-30;5M;Variable;830589;830589;2014-09-30;2030-09-30;Actual/365;EURIBOR;EUR;Valor razonable;830489;Flujos de saldo;830489;1.260;0.47;EURIBOR;6M;999999999999999.00;999999999999999.00;2025-01-30;6M;4M;2900-12-31;;999999999999999.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111135;2024-10-30;1M;Fijo;860852;860852;2023-09-30;2039-09-30;30/365;EURIBOR;EUR;Coste amortizado;860752;Otros ingresos;860752;4.270;0.39;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111136;2024-11-30;2M;Variable;377872;377872;2012-09-30;2032-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;377772;P/G;377772;0.090;1.44;EURIBOR;1M;999999999999999.00;999999999999999.00;2024-11-30;7M;7M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
