MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_FEC_VTO;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;MI_FEC_AMORT;MI_FREC_AMORT;MI_SDO_AMORT;SGM_LQ_LCR;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-09-30;1111111111;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111112;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111113;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-11-30;6M;1000;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111114;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2024-11-30;3M;1000;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111115;2024-12-30;3M;Fijo;192999;192999;2016-09-30;2034-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;192899;P/G;192899;2.880;0.15;;;0.11;3.88;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111116;2024-10-30;1M;Variable;224509;224509;2013-09-30;2034-09-30;Actual/365;EURIBOR;EUR;Valor razonable;224409;Flujos de saldo;224409;1.070;0.85;EURIBOR;5M;999999999999999.00;999999999999999.00;2024-10-30;2M;4M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111117;2025-06-30;11M;Fijo;323847;323847;2016-09-30;2026-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;323747;Otros ingresos;323747;2.540;0.60;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111118;2024-12-30;3M;Variable;402238;402238;2018-09-30;2033-09-30;30/365;EURIBOR;EUR;Valor razonable;402138;P/G;402138;4.350;1.35;EURIBOR;7M;999999999999999.00;999999999999999.00;2024-12-30;7M;3M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111119;2024-10-30;1M;Fijo;299264;299264;2010-09-30;2027-09-30;30/360;EURIBOR;EUR;Coste amortizado;299164;Flujos de saldo;299164;0.510;0.89;;;0.02;999999999999999.00;2900-12-31;;;2024-10-30;10M;899.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111120;2024-10-30;3M;Variable;604584;604584;2022-09-30;2025-09-30;Actual/365;EURIBOR;EUR;Valor razonable;604484;Otros ingresos;604484;1.900;1.21;EURIBOR;7M;0.16;999999999999999.00;2024-10-30;2M;6M;2024-10-30;9M;735.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111121;2024-11-30;11M;Fijo;815531;815531;2023-09-30;2037-09-30;30/365;EURIBOR;EUR;Coste amortizado;815431;P/G;815431;3.200;0.42;;;0.05;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111122;2025-05-30;8M;Variable;373706;373706;2018-09-30;2029-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;373606;Flujos de saldo;373606;3.100;0.46;EURIBOR;9M;999999999999999.00;2.4;2025-05-30;10M;7M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111123;2025-03-02;7M;Fijo;872819;872819;2017-09-30;2029-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;872719;Otros ingresos;872719;3.770;0.33;;;999999999999999.00;2.89;2900-12-31;;;2900-12-31;;999999999999999.00;PEQUEÑA_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111124;2024-11-30;2M;Variable;14495;14495;2020-09-30;2025-09-30;Actual/360;EURIBOR;EUR;Valor razonable;14395;P/G;14395;3.460;1.50;EURIBOR;9M;0.19;2.75;2024-11-30;6M;10M;2900-12-31;;999999999999999.00;PERSONA;En curso;;999999999999999.00
2024-09-30;1111111125;2025-06-30;9M;Fijo;204623;204623;2010-09-30;2030-09-30;30/365;EURIBOR;EUR;Coste amortizado;204523;Flujos de saldo;204523;3.630;0.53;;;999999999999999.00;999999999999999.00;2900-12-31;;;2025-06-30;2M;825.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111126;2025-03-02;6M;Variable;655842;655842;2011-09-30;2037-09-30;30/360;EURIBOR;EUR;Valor razonable;655742;Otros ingresos;655742;0.230;0.64;EURIBOR;2M;999999999999999.00;999999999999999.00;2025-03-02;5M;9M;2025-03-02;4M;263.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111127;2025-03-30;7M;Fijo;927230;927230;2013-09-30;2033-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;927130;P/G;927130;1.690;1.25;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111128;2024-12-30;7M;Variable;970254;970254;2011-09-30;2039-09-30;30/365;EURIBOR;EUR;Valor razonable;970154;Flujos de saldo;970154;0.070;0.64;EURIBOR;8M;0.07;999999999999999.00;2024-12-30;10M;11M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111129;2024-10-30;1M;Fijo;26242;26242;2010-09-30;2027-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;26142;Otros ingresos;26142;0.740;0.84;;;0.08;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111130;2024-12-30;3M;Variable;312240;312240;2009-09-30;2038-09-30;Actual/365;EURIBOR;EUR;Valor razonable;312140;P/G;312140;4.950;0.45;EURIBOR;5M;0.07;999999999999999.00;2024-12-30;11M;6M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111131;2025-01-30;11M;Fijo;732291;732291;2021-09-30;2035-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;732191;Flujos de saldo;732191;3.110;0.64;;;999999999999999.00;3.29;2900-12-31;;;2025-01-30;4M;772.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111132;2025-03-02;5M;Variable;189144;189144;2010-09-30;2026-09-30;30/365;EURIBOR;EUR;Valor razonable;189044;Otros ingresos;189044;2.260;1.47;EURIBOR;9M;999999999999999.00;4.8;2025-03-02;2M;10M;2025-03-02;1M;982.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111133;2024-11-30;11M;Fijo;532016;532016;2013-09-30;2029-09-30;30/360;EURIBOR;EUR;Coste amortizado;531916;P/G;531916;1.160;1.53;;;0.13;1.21;2900-12-31;;;2900-12-31;;999999999999999.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111134;2024-10-30;10M;Variable;280288;280288;2021-09-30;2031-09-30;Actual/365;EURIBOR;EUR;Valor razonable;280188;Flujos de saldo;280188;2.160;1.82;EURIBOR;2M;999999999999999.00;999999999999999.00;2024-10-30;5M;9M;2900-12-31;;999999999999999.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111135;2024-10-30;2M;Fijo;370979;370979;2010-09-30;2031-09-30;30/365;EURIBOR;EUR;Coste amortizado;370879;Otros ingresos;370879;4.740;0.15;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111136;2025-04-30;9M;Variable;248180;248180;2019-09-30;2025-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;248080;P/G;248080;0.520;0.55;EURIBOR;11M;999999999999999.00;999999999999999.00;2025-04-30;5M;6M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
