MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_FEC_VTO;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;MI_FEC_AMORT;MI_FREC_AMORT;MI_SDO_AMORT;SGM_LQ_LCR;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-09-30;1111111111;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111112;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111113;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-11-30;6M;1000;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111114;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2024-11-30;3M;1000;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111115;2024-10-30;2M;Fijo;830891;830891;2013-09-30;2027-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;830791;P/G;830791;0.680;0.39;;;0.05;0.49;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111116;2025-07-30;11M;Variable;880660;880660;2010-09-30;2028-09-30;Actual/365;EURIBOR;EUR;Valor razonable;880560;Flujos de saldo;880560;4.770;1.42;EURIBOR;11M;999999999999999.00;999999999999999.00;2025-07-30;5M;6M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111117;2024-11-30;4M;Fijo;279784;279784;2015-09-30;2034-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;279684;Otros ingresos;279684;0.700;2.00;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111118;2025-03-30;9M;Variable;359485;359485;2010-09-30;2031-09-30;30/365;EURIBOR;EUR;Valor razonable;359385;P/G;359385;0.510;1.90;EURIBOR;4M;999999999999999.00;999999999999999.00;2025-03-30;6M;9M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111119;2024-10-30;2M;Fijo;318249;318249;2019-09-30;2036-09-30;30/360;EURIBOR;EUR;Coste amortizado;318149;Flujos de saldo;318149;2.360;1.98;;;0.2;999999999999999.00;2900-12-31;;;2024-10-30;8M;648.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111120;2025-03-02;5M;Variable;829392;829392;2011-09-30;2029-09-30;Actual/365;EURIBOR;EUR;Valor razonable;829292;Otros ingresos;829292;3.870;1.71;EURIBOR;1M;0.08;999999999999999.00;2025-03-02;1M;4M;2025-03-02;10M;996.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111121;2025-08-30;11M;Fijo;646639;646639;2016-09-30;2031-09-30;30/365;EURIBOR;EUR;Coste amortizado;646539;P/G;646539;0.280;0.34;;;0.12;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111122;2024-10-30;9M;Variable;105067;105067;2013-09-30;2035-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;104967;Flujos de saldo;104967;3.870;1.77;EURIBOR;1M;999999999999999.00;4.95;2024-10-30;10M;2M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111123;2024-10-30;1M;Fijo;141129;141129;2022-09-30;2038-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;141029;Otros ingresos;141029;4.690;0.81;;;999999999999999.00;0.73;2900-12-31;;;2900-12-31;;999999999999999.00;PEQUEÑA_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111124;2024-10-30;1M;Variable;833755;833755;2019-09-30;2026-09-30;Actual/360;EURIBOR;EUR;Valor razonable;833655;P/G;833655;0.050;0.43;EURIBOR;5M;0.2;4.06;2024-10-30;6M;6M;2900-12-31;;999999999999999.00;PERSONA;En curso;;999999999999999.00
2024-09-30;1111111125;2024-10-30;1M;Fijo;939533;939533;2019-09-30;2036-09-30;30/365;EURIBOR;EUR;Coste amortizado;939433;Flujos de saldo;939433;2.370;1.03;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-10-30;2M;232.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111126;2024-12-30;7M;Variable;836680;836680;2013-09-30;2037-09-30;30/360;EURIBOR;EUR;Valor razonable;836580;Otros ingresos;836580;0.380;0.11;EURIBOR;11M;999999999999999.00;999999999999999.00;2024-12-30;8M;5M;2024-12-30;11M;937.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111127;2024-10-30;10M;Fijo;278188;278188;2018-09-30;2031-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;278088;P/G;278088;3.660;0.56;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111128;2024-10-30;2M;Variable;951706;951706;2009-09-30;2030-09-30;30/365;EURIBOR;EUR;Valor razonable;951606;Flujos de saldo;951606;2.320;0.95;EURIBOR;2M;0.01;999999999999999.00;2024-10-30;1M;7M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111129;2024-10-30;3M;Fijo;745552;745552;2010-09-30;2032-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;745452;Otros ingresos;745452;2.160;0.93;;;0.06;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111130;2024-12-30;3M;Variable;736990;736990;2023-09-30;2026-09-30;Actual/365;EURIBOR;EUR;Valor razonable;736890;P/G;736890;0.660;0.17;EURIBOR;10M;0.15;999999999999999.00;2024-12-30;7M;8M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111131;2024-10-30;4M;Fijo;581238;581238;2015-09-30;2025-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;581138;Flujos de saldo;581138;0.730;1.94;;;999999999999999.00;3.64;2900-12-31;;;2024-10-30;2M;331.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111132;2025-01-30;10M;Variable;815099;815099;2013-09-30;2028-09-30;30/365;EURIBOR;EUR;Valor razonable;814999;Otros ingresos;814999;4.350;1.79;EURIBOR;7M;999999999999999.00;2.9;2025-01-30;8M;3M;2025-01-30;5M;26.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111133;2024-10-30;1M;Fijo;377576;377576;2016-09-30;2034-09-30;30/360;EURIBOR;EUR;Coste amortizado;377476;P/G;377476;4.230;0.35;;;0.1;4.45;2900-12-31;;;2900-12-31;;999999999999999.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111134;2024-11-30;4M;Variable;218667;218667;2017-09-30;2026-09-30;Actual/365;EURIBOR;EUR;Valor razonable;218567;Flujos de saldo;218567;3.120;0.97;EURIBOR;5M;999999999999999.00;999999999999999.00;2024-11-30;9M;4M;2900-12-31;;999999999999999.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111135;2024-12-30;11M;Fijo;58080;58080;2011-09-30;2031-09-30;30/365;EURIBOR;EUR;Coste amortizado;57980;Otros ingresos;57980;4.090;0.09;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111136;2024-10-30;2M;Variable;541848;541848;2013-09-30;2035-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;541748;P/G;541748;4.120;0.66;EURIBOR;3M;999999999999999.00;999999999999999.00;2024-10-30;1M;2M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
