MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;SGM_LQ_LCR;NUM_TRNS_AC;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-09-30;1111111111;2024-10-30;1M;Fijo;40000;40000;2018-02-27;Actual/Actual;EURIBOR;EUR;Coste amortizado;40000;Flujos de saldo;40000;0.5;0.6;;;999999999999999.00;999999999999999.00;2900-12-31;;;PERSONA;10;En curso;;999999999999999.00
2024-09-30;1111111112;2024-10-30;1M;Variable;70000;70000;2020-06-30;Actual/365;EURIBOR;EUR;Valor razonable;70000;Otros ingresos;70000;1.5;1.6;EURIBOR;1M;0;4;2024-10-30;1M;0M;GRAN_EMPRESA;4;En curso;;999999999999999.00
2024-09-30;1111111113;2024-10-30;1M;Fijo;569711;569711;2011-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;569611;P/G;569611;1.790;1.20;;;0;999999999999999.00;2900-12-31;;;BCE;6;En curso;;999999999999999.01
2024-09-30;1111111114;2024-10-30;2M;Variable;753961;753961;2011-09-30;Actual/365;EURIBOR;EUR;Valor razonable;753861;Flujos de saldo;753861;1.710;0.31;EURIBOR;10M;0.03;3.52;2024-10-30;7M;4M;BDE;11;En curso;;999999999999999.02
2024-09-30;1111111115;2024-10-30;2M;Fijo;206837;206837;2020-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;206737;Otros ingresos;206737;1.670;0.64;;;999999999999999.00;999999999999999.00;2900-12-31;;;INST_BANCARIAS;13;En curso;;999999999999999.03
2024-10-01;1111111116;2024-12-01;2M;Variable;701714;701714;2023-10-01;30/365;EURIBOR;EUR;Valor razonable;701614;P/G;701614;1.190;0.61;EURIBOR;11M;999999999999999.00;999999999999999.00;2024-12-01;1M;2M;OTR_INST_FIN;18;En curso;;999999999999999.04
2024-10-02;1111111117;2024-11-02;1M;Fijo;43859;43859;2013-10-02;30/360;EURIBOR;EUR;Coste amortizado;43759;Flujos de saldo;43759;2.880;0.74;;;999999999999999.00;999999999999999.00;2900-12-31;;;ISFLSH;8;En curso;;999999999999999.05
2024-10-03;1111111118;2024-11-03;8M;Variable;737959;737959;2011-10-03;Actual/Actual;EURIBOR;EUR;Valor razonable;737859;Otros ingresos;737859;1.820;1.78;EURIBOR;10M;0.15;999999999999999.00;2024-11-03;2M;8M;INST_PUBLICA;10;En curso;;999999999999999.06
2024-10-04;1111111119;2024-11-04;3M;Fijo;609155;609155;2011-10-04;Actual/365;EURIBOR;EUR;Coste amortizado;609055;P/G;609055;1.880;1.54;;;0.04;999999999999999.00;2900-12-31;;;OTR_INST_NO_FIN;18;En curso;;999999999999999.07
2024-10-05;1111111120;2024-12-05;2M;Variable;300196;300196;2013-10-05;Actual/360;EURIBOR;EUR;Valor razonable;300096;Flujos de saldo;300096;0.790;1.48;EURIBOR;3M;0.2;999999999999999.00;2024-12-05;9M;8M;GRAN_EMPRESA;10;En curso;;999999999999999.08
