MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_FEC_VTO;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;MI_FEC_AMORT;MI_FREC_AMORT;MI_SDO_AMORT;SGM_LQ_LCR;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-09-30;1111111111;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111112;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111113;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-11-30;6M;1000;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111114;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2024-11-30;3M;1000;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111115;2025-05-30;8M;Fijo;998746;998746;2011-09-30;2026-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;998646;P/G;998646;0.400;0.76;;;0.12;3.38;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111116;2025-04-30;9M;Variable;846219;846219;2018-09-30;2029-09-30;Actual/365;EURIBOR;EUR;Valor razonable;846119;Flujos de saldo;846119;3.010;1.17;EURIBOR;6M;999999999999999.00;999999999999999.00;2025-04-30;6M;8M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111117;2025-03-02;6M;Fijo;196787;196787;2023-09-30;2035-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;196687;Otros ingresos;196687;1.120;1.08;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111118;2024-11-30;2M;Variable;604903;604903;2018-09-30;2032-09-30;30/365;EURIBOR;EUR;Valor razonable;604803;P/G;604803;1.310;0.91;EURIBOR;11M;999999999999999.00;999999999999999.00;2024-11-30;5M;8M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111119;2025-03-02;11M;Fijo;423618;423618;2023-09-30;2030-09-30;30/360;EURIBOR;EUR;Coste amortizado;423518;Flujos de saldo;423518;0.620;1.15;;;0.04;999999999999999.00;2900-12-31;;;2025-03-02;8M;264.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111120;2024-11-30;9M;Variable;8811;8811;2010-09-30;2027-09-30;Actual/365;EURIBOR;EUR;Valor razonable;8711;Otros ingresos;8711;1.750;0.50;EURIBOR;7M;0.18;999999999999999.00;2024-11-30;10M;4M;2024-11-30;5M;945.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111121;2024-12-30;9M;Fijo;351979;351979;2022-09-30;2039-09-30;30/365;EURIBOR;EUR;Coste amortizado;351879;P/G;351879;0.870;1.05;;;0.19;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111122;2025-03-02;5M;Variable;154374;154374;2018-09-30;2025-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;154274;Flujos de saldo;154274;0.380;0.13;EURIBOR;7M;999999999999999.00;0.12;2025-03-02;3M;9M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111123;2025-01-30;7M;Fijo;728151;728151;2022-09-30;2029-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;728051;Otros ingresos;728051;2.610;1.73;;;999999999999999.00;2.5;2900-12-31;;;2900-12-31;;999999999999999.00;PEQUEÑA_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111124;2024-11-30;3M;Variable;738905;738905;2018-09-30;2035-09-30;Actual/360;EURIBOR;EUR;Valor razonable;738805;P/G;738805;4.610;0.37;EURIBOR;3M;0.04;2.65;2024-11-30;11M;1M;2900-12-31;;999999999999999.00;PERSONA;En curso;;999999999999999.00
2024-09-30;1111111125;2025-04-30;7M;Fijo;659102;659102;2018-09-30;2029-09-30;30/365;EURIBOR;EUR;Coste amortizado;659002;Flujos de saldo;659002;4.310;0.30;;;999999999999999.00;999999999999999.00;2900-12-31;;;2025-04-30;2M;985.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111126;2024-10-30;4M;Variable;291419;291419;2011-09-30;2028-09-30;30/360;EURIBOR;EUR;Valor razonable;291319;Otros ingresos;291319;1.960;1.29;EURIBOR;5M;999999999999999.00;999999999999999.00;2024-10-30;3M;1M;2024-10-30;6M;317.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111127;2024-12-30;3M;Fijo;112805;112805;2009-09-30;2027-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;112705;P/G;112705;1.110;0.94;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111128;2024-12-30;3M;Variable;841249;841249;2023-09-30;2035-09-30;30/365;EURIBOR;EUR;Valor razonable;841149;Flujos de saldo;841149;0.760;1.94;EURIBOR;11M;0.02;999999999999999.00;2024-12-30;1M;4M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111129;2024-10-30;1M;Fijo;788705;788705;2010-09-30;2029-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;788605;Otros ingresos;788605;0.780;0.96;;;0.13;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111130;2024-10-30;6M;Variable;957752;957752;2013-09-30;2026-09-30;Actual/365;EURIBOR;EUR;Valor razonable;957652;P/G;957652;3.390;0.92;EURIBOR;5M;0.13;999999999999999.00;2024-10-30;10M;9M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111131;2025-06-30;11M;Fijo;861125;861125;2011-09-30;2030-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;861025;Flujos de saldo;861025;3.400;0.05;;;999999999999999.00;0.19;2900-12-31;;;2025-06-30;7M;908.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111132;2024-10-30;1M;Variable;674210;674210;2023-09-30;2031-09-30;30/365;EURIBOR;EUR;Valor razonable;674110;Otros ingresos;674110;1.390;0.13;EURIBOR;4M;999999999999999.00;2.06;2024-10-30;2M;6M;2024-10-30;1M;910.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111133;2025-05-30;10M;Fijo;612041;612041;2017-09-30;2025-09-30;30/360;EURIBOR;EUR;Coste amortizado;611941;P/G;611941;0.890;1.79;;;0.15;4.17;2900-12-31;;;2900-12-31;;999999999999999.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111134;2025-03-30;9M;Variable;617863;617863;2010-09-30;2026-09-30;Actual/365;EURIBOR;EUR;Valor razonable;617763;Flujos de saldo;617763;2.970;0.60;EURIBOR;10M;999999999999999.00;999999999999999.00;2025-03-30;7M;3M;2900-12-31;;999999999999999.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111135;2025-04-30;9M;Fijo;433351;433351;2012-09-30;2031-09-30;30/365;EURIBOR;EUR;Coste amortizado;433251;Otros ingresos;433251;0.550;0.32;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111136;2024-11-30;7M;Variable;651881;651881;2023-09-30;2038-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;651781;P/G;651781;4.100;0.36;EURIBOR;8M;999999999999999.00;999999999999999.00;2024-11-30;10M;2M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
