MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_FEC_VTO;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;MI_FEC_AMORT;MI_FREC_AMORT;MI_SDO_AMORT;SGM_LQ_LCR;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-09-30;1111111111;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111112;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111113;2024-11-30;6M;Fijo;550000;550000;2022-07-30;2029-07-30;Actual/365;EURIBOR;EUR;Coste amortizado;500000;P/G;500000;2.5;0.5;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-11-30;6M;1000;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111114;2024-11-30;3M;Variable;7800000;7000000;2023-01-30;2028-01-30;30/365;EURIBOR;EUR;Valor razonable;6500000;Flujos de saldo;6500000;2;0.7;EURIBOR;3M;0;999999999999999.00;2024-11-30;3M;1M;2024-11-30;3M;1000;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111115;2025-03-02;9M;Fijo;879541;879541;2010-09-30;2030-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;879441;P/G;879441;2.300;0.98;;;0.09;1.26;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111116;2025-05-30;11M;Variable;843301;843301;2020-09-30;2039-09-30;Actual/365;EURIBOR;EUR;Valor razonable;843201;Flujos de saldo;843201;2.180;1.69;EURIBOR;5M;999999999999999.00;999999999999999.00;2025-05-30;5M;5M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111117;2024-11-30;2M;Fijo;533872;533872;2017-09-30;2036-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;533772;Otros ingresos;533772;0.910;0.92;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111118;2025-03-02;9M;Variable;177158;177158;2021-09-30;2031-09-30;30/365;EURIBOR;EUR;Valor razonable;177058;P/G;177058;0.070;1.58;EURIBOR;9M;999999999999999.00;999999999999999.00;2025-03-02;2M;2M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111119;2025-03-30;8M;Fijo;367139;367139;2020-09-30;2028-09-30;30/360;EURIBOR;EUR;Coste amortizado;367039;Flujos de saldo;367039;3.210;1.98;;;0.06;999999999999999.00;2900-12-31;;;2025-03-30;2M;456.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111120;2024-11-30;2M;Variable;139776;139776;2015-09-30;2035-09-30;Actual/365;EURIBOR;EUR;Valor razonable;139676;Otros ingresos;139676;2.920;1.93;EURIBOR;6M;0.14;999999999999999.00;2024-11-30;4M;7M;2024-11-30;4M;461.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111121;2025-01-30;11M;Fijo;697331;697331;2010-09-30;2031-09-30;30/365;EURIBOR;EUR;Coste amortizado;697231;P/G;697231;4.450;0.46;;;0.05;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111122;2024-10-30;6M;Variable;296781;296781;2023-09-30;2031-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;296681;Flujos de saldo;296681;1.660;2.00;EURIBOR;4M;999999999999999.00;2.98;2024-10-30;4M;7M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111123;2024-10-30;5M;Fijo;690794;690794;2016-09-30;2039-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;690694;Otros ingresos;690694;3.360;0.33;;;999999999999999.00;3.87;2900-12-31;;;2900-12-31;;999999999999999.00;PEQUEÑA_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111124;2024-10-30;2M;Variable;470144;470144;2012-09-30;2033-09-30;Actual/360;EURIBOR;EUR;Valor razonable;470044;P/G;470044;1.120;0.31;EURIBOR;4M;0.17;1.72;2024-10-30;3M;8M;2900-12-31;;999999999999999.00;PERSONA;En curso;;999999999999999.00
2024-09-30;1111111125;2024-11-30;11M;Fijo;913948;913948;2015-09-30;2038-09-30;30/365;EURIBOR;EUR;Coste amortizado;913848;Flujos de saldo;913848;0.160;0.09;;;999999999999999.00;999999999999999.00;2900-12-31;;;2024-11-30;4M;431.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111126;2024-10-30;2M;Variable;624734;624734;2023-09-30;2026-09-30;30/360;EURIBOR;EUR;Valor razonable;624634;Otros ingresos;624634;4.330;0.69;EURIBOR;6M;999999999999999.00;999999999999999.00;2024-10-30;1M;3M;2024-10-30;11M;18.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111127;2024-12-30;3M;Fijo;347448;347448;2019-09-30;2036-09-30;Actual/365;EURIBOR;EUR;Coste amortizado;347348;P/G;347348;3.780;0.31;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
2024-09-30;1111111128;2025-01-30;4M;Variable;239333;239333;2009-09-30;2033-09-30;30/365;EURIBOR;EUR;Valor razonable;239233;Flujos de saldo;239233;3.260;0.99;EURIBOR;10M;0.02;999999999999999.00;2025-01-30;4M;8M;2900-12-31;;999999999999999.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111129;2024-12-30;11M;Fijo;587428;587428;2021-09-30;2026-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;587328;Otros ingresos;587328;0.650;1.22;;;0.14;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;BCE;En curso;;999999999999999.00
2024-09-30;1111111130;2024-10-30;11M;Variable;124584;124584;2015-09-30;2034-09-30;Actual/365;EURIBOR;EUR;Valor razonable;124484;P/G;124484;0.710;1.49;EURIBOR;8M;0.01;999999999999999.00;2024-10-30;5M;7M;2900-12-31;;999999999999999.00;BDE;En curso;;999999999999999.00
2024-09-30;1111111131;2024-10-30;1M;Fijo;995521;995521;2015-09-30;2036-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;995421;Flujos de saldo;995421;2.950;0.82;;;999999999999999.00;0.57;2900-12-31;;;2024-10-30;5M;48.00;INST_BANCARIAS;En curso;;999999999999999.00
2024-09-30;1111111132;2025-05-30;8M;Variable;792623;792623;2011-09-30;2033-09-30;30/365;EURIBOR;EUR;Valor razonable;792523;Otros ingresos;792523;1.210;0.17;EURIBOR;2M;999999999999999.00;1.33;2025-05-30;10M;9M;2025-05-30;5M;504.00;OTR_INST_FIN;En curso;;999999999999999.00
2024-09-30;1111111133;2024-10-30;10M;Fijo;188735;188735;2018-09-30;2039-09-30;30/360;EURIBOR;EUR;Coste amortizado;188635;P/G;188635;4.600;0.79;;;0.13;1.83;2900-12-31;;;2900-12-31;;999999999999999.00;ISFLSH;En curso;;999999999999999.00
2024-09-30;1111111134;2024-11-30;6M;Variable;192641;192641;2019-09-30;2033-09-30;Actual/365;EURIBOR;EUR;Valor razonable;192541;Flujos de saldo;192541;4.110;0.08;EURIBOR;1M;999999999999999.00;999999999999999.00;2024-11-30;4M;3M;2900-12-31;;999999999999999.00;INST_PUBLICA;En curso;;999999999999999.00
2024-09-30;1111111135;2024-12-30;4M;Fijo;356915;356915;2012-09-30;2031-09-30;30/365;EURIBOR;EUR;Coste amortizado;356815;Otros ingresos;356815;4.820;0.12;;;999999999999999.00;999999999999999.00;2900-12-31;;;2900-12-31;;999999999999999.00;OTR_INST_NO_FIN;En curso;;999999999999999.00
2024-09-30;1111111136;2024-10-30;3M;Variable;826603;826603;2016-09-30;2028-09-30;Actual/Actual;EURIBOR;EUR;Valor razonable;826503;P/G;826503;4.180;1.24;EURIBOR;6M;999999999999999.00;999999999999999.00;2024-10-30;11M;7M;2900-12-31;;999999999999999.00;GRAN_EMPRESA;En curso;;999999999999999.00
