MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;SGM_LQ_LCR;NUM_TRNS_AC;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-09-30;1111111111;2024-10-30;1M;Fijo;40000;40000;2018-02-27;Actual/Actual;EURIBOR;EUR;Coste amortizado;40000;Flujos de saldo;40000;0.5;0.6;;;999999999999999.00;999999999999999.00;2900-12-31;;;PERSONA;10;En curso;;999999999999999.00
2024-09-30;1111111112;2024-10-30;1M;Variable;70000;70000;2020-06-30;Actual/365;EURIBOR;EUR;Valor razonable;70000;Otros ingresos;70000;1.5;1.6;EURIBOR;1M;0;4;2024-10-30;1M;0M;GRAN_EMPRESA;4;En curso;;999999999999999.00
2024-09-30;1111111113;2024-10-30;11M;Fijo;846944;846944;2010-09-30;Actual/Actual;EURIBOR;EUR;Coste amortizado;846844;P/G;846844;0.900;0.92;;;0;999999999999999.00;2900-12-31;;;BCE;5;En curso;;999999999999999.01
2024-09-30;1111111114;2024-11-30;5M;Variable;67965;67965;2019-09-30;Actual/365;EURIBOR;EUR;Valor razonable;67865;Flujos de saldo;67865;0.750;1.99;EURIBOR;9M;0.19;1.68;2024-11-30;10M;10M;BDE;15;En curso;;999999999999999.02
2024-09-30;1111111115;2025-01-30;6M;Fijo;223298;223298;2017-09-30;Actual/360;EURIBOR;EUR;Coste amortizado;223198;Otros ingresos;223198;0.520;0.92;;;999999999999999.00;999999999999999.00;2900-12-31;;;INST_BANCARIAS;4;En curso;;999999999999999.03
2024-10-01;1111111116;2025-06-01;9M;Variable;457459;457459;2023-10-01;30/365;EURIBOR;EUR;Valor razonable;457359;P/G;457359;1.280;0.27;EURIBOR;8M;999999999999999.00;999999999999999.00;2025-06-01;8M;5M;OTR_INST_FIN;5;En curso;;999999999999999.04
2024-10-02;1111111117;2025-01-02;8M;Fijo;419387;419387;2021-10-02;30/360;EURIBOR;EUR;Coste amortizado;419287;Flujos de saldo;419287;1.530;0.02;;;999999999999999.00;999999999999999.00;2900-12-31;;;ISFLSH;16;En curso;;999999999999999.05
2024-10-03;1111111118;2024-12-03;10M;Variable;462346;462346;2021-10-03;Actual/Actual;EURIBOR;EUR;Valor razonable;462246;Otros ingresos;462246;2.930;0.61;EURIBOR;5M;0.06;999999999999999.00;2024-12-03;11M;3M;INST_PUBLICA;15;En curso;;999999999999999.06
2024-10-04;1111111119;2025-03-04;7M;Fijo;881719;881719;2023-10-04;Actual/365;EURIBOR;EUR;Coste amortizado;881619;P/G;881619;2.310;0.46;;;0.01;999999999999999.00;2900-12-31;;;OTR_INST_NO_FIN;13;En curso;;999999999999999.07
2024-10-05;1111111120;2024-11-05;6M;Variable;563939;563939;2023-10-05;Actual/360;EURIBOR;EUR;Valor razonable;563839;Flujos de saldo;563839;2.580;1.14;EURIBOR;4M;0.11;999999999999999.00;2024-11-05;11M;7M;GRAN_EMPRESA;12;En curso;;999999999999999.08
